,Name,Notes,category
189,Cristallo di Rocca Eau de Parfum,"['almond', 'citrus', 'lily of the valley', 'rose', 'geranium', 'ylang ylang', 'cloves', 'rum', 'iris', 'sandalwood', 'vanilla', 'and rock crystal.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,BEVERAGES,SPICES,CITRUS,FLOWERS"
190,Morning Muscs Eau de Parfum,"['mandarin orange', 'grapefruit', 'peach', 'iris', 'damask rose', 'violet', 'patchouli', 'musk and moss.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,CITRUS,FLOWERS"
191,Black Muscs Eau de Parfum,"['bergamot', 'lemon', 'violet', 'rose', 'patchouli', 'amber', 'and musk.']","WOODS MOSSES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
192,Rose Oud Eau de Parfum,"['rose', 'agarwood', 'musk', 'amber', 'lemon', 'olibanum and sandalwood.']","WOODS MOSSES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
193,Silver Ombre Eau de Parfum,"['raspberry', 'lemon', 'apple', 'rose', 'iris', 'saffron', 'musk', 'patchouli', 'amber', 'vanilla and white woods.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
194,Vaniglia Eau de Parfum,"['vanilla', 'caramel', 'orchid']","SPICES,SWEETS GOURMAND,FLOWERS"
195,Nero Eau de Parfum,"['blackcurrant', 'apple', 'bergamot', 'pineapple', 'rose', 'jasmine', 'patchouli', 'birch', 'amber', 'musk', 'vanilla.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
196,Christopher Street Eau de Parfum,"['alcoholic lime', 'bergamot', 'bitter orange', 'leather', 'tobacco', 'cinnamon', 'clove bud', 'orange blossom', 'poet carnation', 'incense', 'moss', 'musk', 'myrrh', 'patchouli.']","WHITE FLOWERS,SPICES,CITRUS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
197,Rudis Eau de Parfum,"['bergamot', 'dried fruits', 'rose', 'geranium', 'clove', 'saffron', 'cedar wood', 'leathery notes', 'patchouli', 'vetiver', 'immortelle', 'musk and incense']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES"
198,Gardenia Eau de Parfum,"['gardenia', 'peach', 'ylang-ylang', 'jasmine', 'sandalwood', 'ambergris', 'white musk.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,FLOWERS,MUSK AMBER ANIMALIC"
199,Mohur Extrait Parfum Extrait,"['cardamom', 'coriander', 'ambrette', 'carrot seeds', 'pepper', 'elemi', 'iris', 'jasmine', 'rose', 'violet', 'almond', 'leather', 'sandalwood', 'amber', 'woody notes', 'patchouli', 'agarwood (oud)', 'benzoin', 'vanilla', 'and tonka bean.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,SPICES,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
200,Maai Eau de Parfum,"['tuberose', 'rose', 'jasmine', 'ylang ylang', 'civet', 'castoreum', 'hyraceum', 'dried fruits', 'sandalwood', 'oakmoss.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,FLOWERS,MUSK AMBER ANIMALIC"
201,SHE Shihan Eau de Parfum,"['plum', 'violet', 'rose', 'tobacco', 'incense', 'spices', 'vanilla']","FRUITS VEGETABLES NUTS,SPICES,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS"
202,Mood Indigo Eau de Parfum,"['red pepper', 'camomile romaine', 'geranium', 'waterlily', 'musk', 'sandalwood', 'incense', 'amber', 'cedarwood', 'and patchouli.']","WOODS MOSSES,RESINS BALSAMS,FLOWERS,MUSK AMBER ANIMALIC"
203,Love Exposure Eau de Parfum,"['ylang', 'magnolia flowers', 'neroli oil', 'cassis', 'bay oil', 'cumin oil', 'costus', 'jasmine sambac', 'encens', 'musk', 'sandalwood', 'ambergris', 'and vanilla.']","WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
